板块,平均价格（元/月）
新区,3186.6136363636365
新城片区,1941.8918918918919
新塘北,1875.8943965517242
新塘南,2129.825327510917
新市,3331.3026315789475
新港西,4227.3607142857145
旧区,2091.0401673640167
旧城区,1393.111111111111
旺城片区,1597.0588235294117
昌岗,3988.9070208728654
明珠湾,3492.3048780487807
星河湾,8384.103806228373
景泰,2994.3639240506327
智慧城,3010.477234401349
朱村,1814.5887480190174
机场路,3364.611009174312
杨箕,5852.719806763285
林和,6689.75208913649
桂花岗,2671.7261410788383
桥南,3020.3646209386284
梅花园,3715.4285714285716
棠下,4240.144514767932
榄核镇,2320.5757575757575
横沥,2561.913738019169
正果镇,1900.0
水荫,5156.147577092511
永宁,1728.9909031838856
永泰,13614.468085106382
汇景新城,10458.32098765432
汉溪长隆,6338.586971586971
江南大道中,3463.9163090128754
江南西,4541.506024096386
江夏,5864.1662591687045
江浦街,2148.25
江燕路,4243.979779411765
江高镇,2886.231884057971
汾水,2623.918181818182
沙园,3136.4666666666667
沙太北,9550.986842105263
沙太南,4083.9319899244333
沙村,2348.8387096774195
沙河,3382.931688804554
沙湾,2854.76430976431
沙面,21358.545454545456
沥滘,5416.392156862745
河滨北路,1546.8292682926829
洛溪,4505.120614035088
洪德,4499.337579617834
派潭镇,1707.638888888889
流花站前,3227.3551020408163
海珠,2643.8333333333335
海珠广场,9867.857142857143
淘金,7322.136363636364
温泉镇,2634.6134453781515
滘口,3811.373015873016
滨江东,7106.875
滨江中,4656.0375
滨江西,4017.979797979798
炭步,2001.0
燕塘,3928.7933579335795
狮岭镇,3016.4383954154728
环市东,4833.163793103448
珠江新城东,13218.913522012579
珠江新城中,13109.189791516894
珠江新城西,8432.582932692309
琶洲中,4321.358974358975
番禺,2049.2
番禺客运站,3735.6923076923076
番禺广场,2993.2582781456954
白云,1459.0
白云大道南,8007.2625
白江,2133.774566473988
盘福,3494.4347826086955
知识城,2439.0044194455604
石井,3098.6005747126437
石楼,3445.1414141414143
石滩镇,1370.1476923076923
石牌,4846.588349514564
石碁,2453.061224489796
磨碟沙,5542.268421052631
祈福新村,3788.272851296044
神岗镇,1822.7154811715482
福和镇,1362.1818181818182
秀全街,2539.8880597014927
科学城,4281.039641340255
粤垦,4247.001168224299
罗冲围,3289.7612456747406
花东镇,2151.087591240876
花地湾,3144.375
花城街,2281.813209494324
花山镇,2108.095238095238
芳村,3404.10407239819
茶滘,3751.2195121951218
荔城中区,1806.7869822485206
荔城增江,1987.1632653061224
荔城富鹏,2614.6428571428573
荔城西区,1929.1563055062168
荔湾,2761.0
莲花山,3896.558303886926
菊树,2666.6666666666665
西关,7986.9010989010985
西华路,3443.7976653696496
西场,2930.8823529411766
西朗,6000.727272727273
西村,3465.595238095238
西门口,4229.277647058823
解放北,3851.4473684210525
解放南,3330.4111405835542
赤坭镇,10000.0
赤岗,4321.322169059011
赤草,2333.75
越秀,2021.0
越秀南,3943.3212560386473
车陂,4212.697318007663
进港大道,2296.3494704992436
金山谷,4519.683510638298
金沙洲,4265.183210784314
金洲,2289.1780190852255
金碧,4065.6178571428572
金融城,5759.918215613383
钟村,3049.1201117318437
钟落潭,2741.6666666666665
铁路西,2288.0255033557046
镜湖大道,2643.799751243781
长兴,3870.7783251231526
长岭居,3687.6635071090045
长洲岛,2333.3333333333335
陈家祠,7356.410256410257
雅居乐,7604.008620689655
顺德碧桂园,3089.130177514793
香雪,3288.736456808199
马务,3565.6111111111113
高唐,5000.0
鱼珠,8041.743842364532
鱼窝头,3222.222222222222
鳌头镇,1607.4285714285713
鹤洞,3406.3217993079584
麓景,3562.8104575163397
黄埔,1734.3
黄埔区府,3111.3617021276596
黄埔村,23165.714285714286
黄埔永和,2333.0173501577287
黄村,6303.877708978328
黄沙,11016.31794871795
黄石,3940.330049261084
黄花岗,4214.045602605863
黄边,4321.738888888889
黄阁,2611.2613521695257
龙口东,4787.107266435986
龙口西,5727.408088235294
龙归,2975.0
龙洞,5324.118644067797
龙津,3891.4572564612326
龙溪,3864.221153846154
